ticker,metric,year,value_bln
ROSN,fcf,2011,96
ROSN,fcf,2012,45
ROSN,fcf,2013,204
ROSN,fcf,2014,596
ROSN,fcf,2015,657
ROSN,fcf,2016,302
ROSN,fcf,2017,245
ROSN,fcf,2018,1133
ROSN,fcf,2019,884
ROSN,fcf,2020,425
ROSN,fcf,2021,1044
ROSN,fcf,2022,989
ROSN,fcf,2023,1427
ROSN,fcf,2024,1295
ROSN,fcf,2025,700
YDEX,fcf,2016,15.661
YDEX,fcf,2017,7.519
YDEX,fcf,2018,-0.1
YDEX,fcf,2019,24.066
YDEX,fcf,2020,8.159
YDEX,fcf,2021,-44.154
YDEX,fcf,2022,-10.936
YDEX,fcf,2023,-37.7
YDEX,fcf,2024,48.9
YDEX,fcf,2025,109.7
OZON,revenue,2015,13.7
OZON,revenue,2016,16.5
OZON,revenue,2017,24
OZON,revenue,2018,37.22
OZON,revenue,2019,60.104
OZON,revenue,2020,104.35
OZON,revenue,2021,178.2
OZON,revenue,2022,277.12
OZON,revenue,2023,424.3
OZON,revenue,2024,615.7
OZON,revenue,2025,998
SBER,net_income,2008,24.4
SBER,net_income,2009,97.7
SBER,net_income,2010,181.6
SBER,net_income,2011,315.9
SBER,net_income,2012,347.9
SBER,net_income,2013,362
SBER,net_income,2014,290.3
SBER,net_income,2015,222.9
SBER,net_income,2016,541.9
SBER,net_income,2017,748.7
SBER,net_income,2018,831.7
SBER,net_income,2019,845
SBER,net_income,2020,761.1
SBER,net_income,2021,1250.7
SBER,net_income,2022,270.5
SBER,net_income,2023,1508.6
SBER,net_income,2024,1582
SBER,net_income,2025,1707
YDEX,revenue,2011,20.033
YDEX,revenue,2012,28.767
YDEX,revenue,2013,39.502
YDEX,revenue,2014,50.767
YDEX,revenue,2015,59.792
YDEX,revenue,2016,75.9
YDEX,revenue,2017,94.05
YDEX,revenue,2018,127.657
YDEX,revenue,2019,175.391
YDEX,revenue,2020,218.34
YDEX,revenue,2021,356.171
YDEX,revenue,2022,521.699
YDEX,revenue,2023,798.1
YDEX,revenue,2024,1095
YDEX,revenue,2025,1441
