date,SBER_yield,YDEX_yield,T_yield,DOMRF_yield,OZON_yield,ROSN_yield,VTBR_yield,GMKN_yield,PLZL_yield,IRAO_yield,portfolio_yield,ofz10y,erp,SBER_z,YDEX_z,T_z,DOMRF_z,OZON_z,ROSN_z,VTBR_z,GMKN_z,PLZL_z,IRAO_z,portfolio_z,ofz_z,composite_erp_z
2019-01,17.6815,3.0668,,,,19.0891,7.8512,,,,12.2393,8.77,3.4693,,,,,,,,,,,,,
2019-02,18.5409,3.0723,,,,19.6851,8.2602,,,,12.7773,8.23,4.5473,,,,,,,,,,,,,
2019-03,17.9684,2.9577,,,,19.0544,8.3193,,,,12.3801,8.43,3.9501,,,,,,,,,,,,,
2019-04,17.1106,2.8372,,,,18.3079,8.3533,,,,11.8056,8.39,3.4156,,,,,,,,,,,,,
2019-05,16.8066,3.0856,,,,20.7234,7.6724,,,,11.738,8.25,3.488,,,,,,,,,,,,,
2019-06,16.4325,2.9974,,,,21.6483,7.0616,,,,11.484,8.01,3.474,,,,,,,,,,,,,
2019-07,16.7886,2.8955,,,,21.2661,6.6262,,,,11.6504,7.45,4.2004,-0.8871,0.1725,,,,0.7059,-2.8159,0.6183,-0.5649,,-0.4912,-3.8567,3.3655
2019-08,18.2074,3.0202,,,,21.424,6.7361,,,,12.5596,7.43,5.1296,1.2517,0.2694,,,,0.7366,-1.6083,0.3723,-1.5012,,0.8017,-2.0724,2.8742
2019-09,17.9267,3.2863,,,,20.7929,6.117,,,,12.4673,7.21,5.2573,0.6781,1.1951,,,,0.5766,-2.2342,0.2738,-1.1607,,0.783,-2.0623,2.8453
2019-10,17.3788,3.499,12.716,,,20.4659,6.0467,,,,12.2957,7.16,5.1357,-0.1695,1.7905,,,,0.4852,-1.7789,0.1207,-0.9693,,0.5006,-1.7013,2.2019
2019-11,16.0209,2.8503,14.0554,,,19.6628,6.1138,,,,11.6474,6.51,5.1374,-2.2293,-0.8856,,,,0.347,-1.3924,0.213,-0.4493,,-1.6425,-2.6166,0.9741
2019-12,14.7147,2.8461,12.7112,,,19.2824,6.0378,,,,10.7521,6.6,4.1521,-3.4962,-0.8291,,,,0.2672,-1.31,-0.0331,-0.5972,,-2.3735,-1.8224,-0.5511
2020-01,15.521,2.5104,11.9557,,,18.0268,7.2202,,,13.5606,10.9541,6.42,4.5341,-1.5699,-1.331,,,,0.0457,0.1333,-0.1984,-1.0881,,-1.4093,-1.7961,0.3867
2020-02,16.7741,2.712,12.2866,,,21.4722,7.7318,,,15.0746,11.7574,6.37,5.3874,-0.2172,-0.5295,,,,0.6519,0.7158,-0.1374,-1.4016,,-0.3171,-1.6098,1.2926
2020-03,20.9092,2.6574,20.1254,,,27.5548,10.2767,,,15.9367,15.2553,6.55,8.7053,3.7764,2.7024,,,,0.6237,3.6583,0.0015,4.1625,,3.2992,-1.2012,4.5004
2020-04,19.8449,2.5303,17.6711,,,25.8062,9.5994,,,15.6897,14.2348,6.89,7.3448,1.8519,1.6346,1.3075,,,0.3434,1.9724,-0.1058,1.8723,,1.6547,-0.6906,2.3453
2020-05,17.0718,2.5187,15.1844,,,17.8077,8.9206,,,16.5261,12.3353,6.18,6.1553,-0.2292,1.5249,0.2334,,,-0.0804,1.1586,-0.2685,1.8612,,0.407,-1.5469,1.9539
2020-06,16.8433,2.0127,13.2346,,,18.5165,9.2413,,,16.7944,11.7517,5.67,6.0817,-0.3794,-0.496,-0.494,,,0.0618,1.3419,0.1197,1.504,,-0.3775,-2.0206,1.6431
2020-07,15.4484,1.6763,10.1744,,,18.7707,8.3578,,,14.0871,10.393,6.01,4.383,-1.3522,-1.7581,-1.6285,,,0.1116,0.5412,0.0019,-0.2089,-1.4141,-1.4462,-1.3916,-0.0546
2020-08,13.4261,1.1659,10.5786,,,10.72,7.8343,,,13.9538,9.2053,6.01,3.1953,-2.6584,-2.5807,-1.2288,,,-0.0623,0.0984,0.0355,-0.4491,-1.2735,-2.2542,-1.2903,-0.9638
2020-09,13.2479,1.1722,9.7934,,,10.4457,8.0388,,,12.9532,8.9703,6.22,2.7503,-2.3361,-2.1542,-1.375,,,-0.1589,0.2659,0.1238,-0.0127,-1.9564,-2.0013,-0.9812,-1.0201
2020-10,15.1034,1.301,10.6984,,,11.4371,8.4842,,,14.302,10.1155,6.39,3.7255,-0.996,-1.44,-0.9143,,,0.2085,0.6379,0.1056,0.1839,-0.5029,-1.0428,-0.7521,-0.2908
