date,implied_erp_t12m_pct,z_score
2008-09,4.22,
2008-10,4.51,
2008-11,5.9,
2008-12,6.6,
2009-01,6.43,
2009-02,6.87,
2009-03,7.68,1.8726
2009-04,7.01,0.8405
2009-05,6.32,0.1472
2009-06,5.94,-0.2152
2009-07,5.86,-0.282
2009-08,5.46,-0.6772
2009-09,5.3,-0.8042
2009-10,4.86,-1.223
2009-11,4.97,-1.0045
2009-12,4.73,-1.1921
2010-01,4.36,-1.4919
2010-02,4.56,-1.1589
2010-03,4.44,-1.2068
2010-04,4.16,-1.4101
2010-05,4.54,-0.9415
2010-06,4.79,-0.6562
2010-07,5.1,-0.3285
2010-08,4.78,-0.6432
2010-09,5.1,-0.2975
2010-10,5.31,-0.0724
2010-11,5.11,-0.2832
2010-12,5.08,-0.3099
2011-01,5.2,-0.1721
2011-02,5.07,-0.3142
2011-03,4.9,-0.5011
2011-04,5.31,-0.0204
2011-05,5.16,-0.195
2011-06,5.27,-0.0617
2011-07,5.72,0.4798
2011-08,5.92,0.7143
2011-09,6.39,1.2744
2011-10,7.64,2.7483
2011-11,6.49,1.1351
2011-12,6.51,1.1228
2012-01,7.32,2.0435
2012-02,7.04,1.6315
2012-03,6.73,1.2805
2012-04,6.64,1.2794
2012-05,6.76,1.4528
2012-06,7.28,2.0058
2012-07,6.59,1.123
2012-08,6.55,1.0415
2012-09,6.41,0.8481
2012-10,6.35,0.7467
2012-11,6.44,0.7991
2012-12,6.45,0.7666
2013-01,6.0,0.2492
2013-02,5.67,-0.1504
2013-03,5.65,-0.2111
2013-04,5.68,-0.2228
2013-05,5.6,-0.3856
2013-06,5.45,-0.6293
2013-07,5.73,-0.3041
2013-08,5.46,-0.6908
2013-09,5.62,-0.5187
2013-10,5.59,-0.5899
2013-11,5.36,-0.9288
2013-12,5.19,-1.1901
2014-01,4.96,-1.5293
2014-02,5.17,-1.2047
2014-03,4.96,-1.512
2014-04,5.15,-1.25
2014-05,5.12,-1.2772
2014-06,5.03,-1.3999
2014-07,5.38,-0.8874
2014-08,5.45,-0.7702
2014-09,5.28,-0.9793
2014-10,5.43,-0.7255
2014-11,5.32,-0.8518
2014-12,5.21,-0.9663
2015-01,5.78,-0.079
2015-02,6.01,0.3449
2015-03,5.67,-0.1542
2015-04,5.86,0.2199
2015-05,5.8,0.159
2015-06,5.74,0.1046
2015-07,5.81,0.3694
2015-08,5.9,0.655
2015-09,6.28,1.6934
2015-10,6.63,2.6213
2015-11,6.12,1.2508
2015-12,6.11,1.2952
2016-01,6.12,1.4038
2016-02,6.47,2.2938
2016-03,6.51,2.1903
2016-04,6.24,1.3851
2016-05,6.22,1.2709
2016-06,6.12,0.9871
2016-07,6.27,1.2637
2016-08,6.06,0.7582
2016-09,6.06,0.7201
2016-10,6.16,0.9008
2016-11,6.26,1.0682
2016-12,6.02,0.5119
2017-01,5.69,-0.2257
2017-02,5.59,-0.5027
2017-03,5.39,-0.9972
2017-04,5.38,-1.0925
2017-05,5.34,-1.2284
2017-06,5.29,-1.3957
2017-07,5.13,-1.869
2017-08,5.03,-2.0517
2017-09,5.04,-1.9152
2017-10,4.92,-2.1316
2017-11,4.81,-2.2449
2017-12,4.68,-2.3807
2018-01,5.08,-1.4264
2018-02,4.78,-1.936
2018-03,4.96,-1.4517
2018-04,5.19,-0.9591
2018-05,5.16,-0.9689
2018-06,5.06,-1.1032
2018-07,5.37,-0.5118
2018-08,5.18,-0.82
2018-09,5.04,-1.0226
2018-10,5.38,-0.3766
2018-11,5.76,0.3608
2018-12,5.68,0.2363
2019-01,5.96,0.7862
2019-02,5.53,-0.0105
2019-03,5.36,-0.2954
2019-04,5.75,0.571
2019-05,5.62,0.3379
2019-06,5.93,1.0849
2019-07,5.67,0.5206
2019-08,5.59,0.3949
2019-09,5.75,0.8356
2019-10,5.55,0.372
2019-11,5.44,0.1429
2019-12,5.25,-0.3321
2020-01,5.2,-0.4386
2020-02,5.24,-0.2775
2020-03,5.69,1.1678
2020-04,6.16,2.576
2020-05,5.65,0.8573
2020-06,5.45,0.2602
2020-07,5.37,0.0219
2020-08,5.1,-0.7632
2020-09,4.74,-1.7991
2020-10,4.74,-1.7206
2020-11,4.85,-1.3752
2020-12,4.49,-2.3639
2021-01,4.2,-3.0483
2021-02,4.76,-1.3506
2021-03,4.63,-1.655
2021-04,4.14,-2.7214
2021-05,3.99,-2.7403
2021-06,4.1,-2.2257
2021-07,3.96,-2.2977
2021-08,3.91,-2.1705
2021-09,4.21,-1.5095
2021-10,4.87,-0.4078
2021-11,4.58,-0.8349
2021-12,4.79,-0.4614
2022-01,4.24,-1.2916
2022-02,4.56,-0.7188
2022-03,4.75,-0.3764
2022-04,4.73,-0.3825
2022-05,5.14,0.3227
2022-06,5.07,0.2342
2022-07,6.01,1.9019
2022-08,5.42,0.8488
2022-09,5.45,0.9143
2022-10,6.21,2.2508
2022-11,5.48,0.9172
2022-12,5.26,0.5547
2023-01,5.94,1.6642
2023-02,5.54,0.9451
2023-03,5.58,0.986
2023-04,5.44,0.7759
2023-05,5.3,0.614
2023-06,5.25,0.556
2023-07,5.0,0.1493
2023-08,4.83,-0.1199
2023-09,4.9,0.0113
2023-10,4.84,-0.0981
2023-11,4.88,-0.0349
2023-12,4.53,-0.6309
2024-01,4.6,-0.5145
2024-02,4.5,-0.7153
2024-03,4.33,-0.9908
2024-04,4.23,-1.1367
2024-05,4.4,-0.8561
2024-06,4.27,-1.1249
2024-07,4.12,-1.411
2024-08,4.12,-1.4366
2024-10,3.94,-1.8009
2024-11,4.31,-1.0892
2024-12,4.07,-1.4671
2025-01,4.33,-0.9609
2025-02,4.27,-1.0295
2025-03,4.35,-0.8966
2025-04,4.61,-0.4419
2025-05,4.58,-0.4849
2025-06,4.23,-1.0644
2025-07,4.21,-1.0433
2025-08,4.15,-1.0899
2025-09,3.94,-1.4076
2025-10,4.01,-1.2086
2025-11,3.95,-1.2465
2025-12,3.99,-1.1666
2026-01,4.23,-0.6578
2026-02,4.25,-0.5766
2026-03,4.37,-0.2847
2026-04,4.77,0.6977
2026-05,4.36,-0.223
2026-06,4.31,-0.3034
2026-07,4.2,-0.5916
2026-08,4.23,-0.4547
2026-09,4.09,-0.9345
