date,SBER_ey,YDEX_ey,T_ey,DOMRF_ey,OZON_ey,ROSN_ey,VTBR_ey,GMKN_ey,PLZL_ey,IRAO_ey,portfolio_ey,ofz10y,erp
2019-01,17.6815,3.0668,,,,19.0891,7.8512,,,,12.2393,8.77,3.4693
2019-02,18.5409,3.0723,,,,19.6851,8.2602,,,,12.7773,8.23,4.5473
2019-03,17.9684,2.9577,,,,19.0544,8.3193,,,,12.3801,8.43,3.9501
2019-04,17.1106,2.8372,,,,18.3079,8.3533,,,,11.8056,8.39,3.4156
2019-05,16.8066,3.0856,,,,20.7234,7.6724,,,,11.738,8.25,3.488
2019-06,16.4325,2.9974,,,,21.6483,7.0616,,,,11.484,8.01,3.474
2019-07,16.7886,2.8955,,,,21.2661,6.6262,,,,11.6504,7.45,4.2004
2019-08,18.2074,3.0202,,,,21.424,6.7361,,,,12.5596,7.43,5.1296
2019-09,17.9267,3.2863,,,,20.7929,6.117,,,,12.4673,7.21,5.2573
2019-10,17.3788,3.499,12.716,,,20.4659,6.0467,,,,12.2957,7.16,5.1357
2019-11,16.0209,2.8503,14.0554,,,19.6628,6.1138,,,,11.6474,6.51,5.1374
2019-12,14.7147,2.8461,12.7112,,,19.2824,6.0378,,,,10.7521,6.6,4.1521
2020-01,15.521,2.5104,11.9557,,,18.0268,7.2202,,,13.5606,10.9541,6.42,4.5341
2020-02,16.7741,2.712,12.2866,,,21.4722,7.7318,,,15.0746,11.7574,6.37,5.3874
2020-03,20.9092,2.6574,20.1254,,,27.5548,10.2767,,,15.9367,15.2553,6.55,8.7053
2020-04,19.8449,2.5303,17.6711,,,25.8062,9.5994,,,15.6897,14.2348,6.89,7.3448
2020-05,17.0718,2.5187,15.1844,,,17.8077,8.9206,,,16.5261,12.3353,6.18,6.1553
2020-06,16.8433,2.0127,13.2346,,,18.5165,9.2413,,,16.7944,11.7517,5.67,6.0817
2020-07,15.4484,1.6763,10.1744,,,18.7707,8.3578,,,14.0871,10.393,6.01,4.383
2020-08,13.4261,1.1659,10.5786,,,10.72,7.8343,,,13.9538,9.2053,6.01,3.1953
2020-09,13.2479,1.1722,9.7934,,,10.4457,8.0388,,,12.9532,8.9703,6.22,2.7503
2020-10,15.1034,1.301,10.6984,,,11.4371,8.4842,,,14.302,10.1155,6.39,3.7255
2020-11,14.3002,1.1617,9.1036,,-2.9895,5.6676,5.9325,,,13.8561,8.9981,6.52,2.4781
2020-12,13.141,1.1866,9.1021,,-2.7909,5.8552,5.8252,,,13.4823,8.4477,6.16,2.2877
2021-01,13.658,1.3448,7.1752,,-2.9086,3.4112,3.3953,,,13.7696,8.3593,6.25,2.1093
2021-02,13.0484,1.3301,5.7498,,-2.3775,3.083,3.355,,,14.1177,7.8334,6.58,1.2534
2021-03,12.1135,1.3175,4.9993,,-2.515,2.8178,2.912,,,14.1246,7.2409,7.02,0.2209
2021-04,11.8405,1.2973,5.0848,,-2.281,3.0721,2.4106,,,14.6363,7.1267,7.27,-0.1433
2021-05,14.09,1.1627,4.4944,,-2.8289,5.6109,4.0927,,,14.2577,8.1054,7.17,0.9354
2021-06,14.2896,1.11,3.8586,,-2.5846,5.22,4.1159,,,15.3127,8.0933,7.26,0.8333
2021-07,14.3298,1.1561,4.0525,,-2.9163,5.4759,4.1172,,,16.5155,8.1683,7.21,0.9583
2021-08,15.5893,0.9748,4.2987,,-4.3725,11.264,6.4118,,,18.0841,8.846,6.97,1.876
2021-09,14.9927,0.943,4.1845,,-4.5807,9.7835,6.5384,,,17.9514,8.507,7.09,1.417
2021-10,14.3549,0.931,3.7943,,-5.2772,9.4489,6.4069,,,17.4082,8.1015,7.45,0.6515
2021-11,17.3606,0.6679,4.1739,,-7.2413,14.3842,9.6112,,,21.6279,9.6399,8.32,1.3199
2021-12,18.6329,0.7834,4.8534,,-9.3576,13.5942,9.4118,,,21.7878,10.3401,8.35,1.9901
2022-01,21.5046,0.7274,5.6937,,-16.9176,17.2864,12.3233,,,24.1338,11.7758,8.37,3.4058
2022-02,44.1868,1.4003,10.4143,,-27.0294,32.3865,26.8281,,,36.472,23.9602,9.42,14.5402
2022-03,40.3214,1.1971,9.5858,,-19.0723,22.7964,27.2481,,,34.5116,21.9559,,
2022-04,44.9828,1.5307,12.1973,,-26.593,24.3849,26.8481,,,34.844,24.5766,11.36,13.2166
2022-05,48.9753,-0.4509,12.0238,,-36.4451,27.3807,29.4655,,,29.7662,25.6678,10.32,15.3478
2022-06,46.2762,-0.4408,14.0733,,-39.1855,28.4956,30.3438,,,28.2466,24.6556,9.23,15.4256
