date,ofz10y_pct
2019-01-01,8.77
2019-02-01,8.23
2019-03-01,8.43
2019-04-01,8.39
2019-05-01,8.25
2019-06-03,8.01
2019-07-01,7.45
2019-08-01,7.43
2019-09-02,7.21
2019-10-01,7.16
2019-11-01,6.51
2019-12-02,6.6
2020-01-01,6.42
2020-02-03,6.37
2020-03-02,6.55
2020-04-01,6.89
2020-05-01,6.18
2020-06-01,5.67
2020-07-01,6.01
2020-08-03,6.01
2020-09-01,6.22
2020-10-01,6.39
2020-11-02,6.52
2020-12-01,6.16
2021-01-01,6.25
2021-02-01,6.58
2021-03-01,7.02
2021-04-01,7.27
2021-05-03,7.17
2021-06-01,7.26
2021-07-01,7.21
2021-08-02,6.97
2021-09-01,7.09
2021-10-01,7.45
2021-11-01,8.32
2021-12-01,8.35
2022-01-03,8.37
2022-02-01,9.42
2022-03-01,
2022-04-01,11.36
2022-05-02,10.32
2022-06-01,9.23
2022-07-01,8.84
2022-08-01,8.87
2022-09-01,9.08
2022-10-03,10.5
2022-11-01,10.23
2022-12-01,10.24
2023-01-02,10.27
2023-02-01,10.65
2023-03-01,10.82
2023-04-03,10.82
2023-05-01,10.91
2023-06-01,10.89
2023-07-03,11.08
2023-08-01,11.21
2023-09-01,11.47
2023-10-02,11.97
2023-11-01,12.23
2023-12-01,11.88
2024-01-01,11.74
2024-02-01,11.71
2024-03-01,12.3
2024-04-01,13.36
2024-05-01,13.61
2024-06-03,14.96
2024-07-01,15.14
2024-08-01,15.42
2024-09-02,15.88
2024-10-01,15.87
2024-11-01,16.84
2024-12-02,16.17
2025-01-01,15.38
2025-02-03,16.6
2025-03-03,15.55
2025-04-01,15.22
2025-05-01,15.79
2025-06-02,15.41
2025-07-01,14.7
2025-08-01,14.1
2025-09-01,13.85
2025-10-01,14.95
2025-11-03,14.58
2025-12-01,14.35
2026-01-01,14.35
2026-02-02,14.63
2026-03-02,14.31
2026-04-01,14.47
2026-05-01,14.58
2026-06-01,14.93
2026-07-01,16.45
