date,close
2018-01-03,3.393
2018-01-04,3.568
2018-01-05,3.544
2018-01-09,3.481
2018-01-10,3.463
2018-01-11,3.41
2018-01-12,3.44
2018-01-15,3.4515
2018-01-16,3.458
2018-01-17,3.449
2018-01-18,3.4795
2018-01-19,3.541
2018-01-22,3.747
2018-01-23,3.66
2018-01-24,3.67
2018-01-25,3.75
2018-01-26,3.7575
2018-01-29,3.788
2018-01-30,3.77
2018-01-31,3.79
2018-02-01,3.8195
2018-02-02,3.8245
2018-02-05,3.75
2018-02-06,3.6675
2018-02-07,3.805
2018-02-08,3.762
2018-02-09,3.6975
2018-02-12,3.6825
2018-02-13,3.6845
2018-02-14,3.7175
2018-02-15,3.7955
2018-02-16,3.792
2018-02-19,3.7215
2018-02-20,3.7
2018-02-21,3.821
2018-02-22,3.7875
2018-02-26,3.77
2018-02-27,3.7105
2018-02-28,3.72
2018-03-01,3.7295
2018-03-02,3.7165
2018-03-05,3.795
2018-03-06,3.82
2018-03-07,3.7695
2018-03-09,3.818
2018-03-12,3.83
2018-03-13,3.83
2018-03-14,3.67
2018-03-15,3.616
2018-03-16,3.7985
2018-03-19,3.72
2018-03-20,3.795
2018-03-21,3.7795
2018-03-22,3.7745
2018-03-23,3.7345
2018-03-26,3.73
2018-03-27,3.726
2018-03-28,3.737
2018-03-29,3.83
2018-03-30,3.82
2018-04-02,3.86
2018-04-03,3.888
2018-04-04,3.89
2018-04-05,3.971
2018-04-06,3.93
2018-04-09,3.66
2018-04-10,3.68
2018-04-11,3.73
2018-04-12,3.79
2018-04-13,3.75
2018-04-16,3.86
2018-04-17,3.865
2018-04-18,3.95
2018-04-19,3.922
2018-04-20,3.91
2018-04-23,3.85
2018-04-24,3.94
2018-04-25,3.9615
2018-04-26,3.92
2018-04-27,3.975
2018-04-28,3.936
2018-04-30,4
2018-05-02,4.0155
2018-05-03,3.82
2018-05-04,3.832
2018-05-07,3.915
2018-05-08,3.924
2018-05-10,3.942
2018-05-11,3.9845
2018-05-14,3.97
2018-05-15,3.8855
2018-05-16,3.98
2018-05-17,4
2018-05-18,4.145
2018-05-21,3.9935
2018-05-22,4.0505
2018-05-23,3.99
2018-05-24,3.9905
2018-05-25,4.05
