date,close
2018-01-03,4466
2018-01-04,4478
2018-01-05,4469
2018-01-09,4556
2018-01-10,4411
2018-01-11,4357
2018-01-12,4328
2018-01-15,4382
2018-01-16,4487
2018-01-17,4659
2018-01-18,4520
2018-01-19,4446
2018-01-22,4527
2018-01-23,4543
2018-01-24,4568
2018-01-25,4570
2018-01-26,4500
2018-01-29,4599
2018-01-30,4547
2018-01-31,4580
2018-02-01,4535
2018-02-02,4509
2018-02-05,4542
2018-02-06,4500
2018-02-07,4351
2018-02-08,4381
2018-02-09,4322
2018-02-12,4350
2018-02-13,4386
2018-02-14,4467
2018-02-15,4490
2018-02-16,4503
2018-02-19,4497
2018-02-20,4489
2018-02-21,4569
2018-02-22,4520
2018-02-26,4499
2018-02-27,4548
2018-02-28,4646
2018-03-01,4706
2018-03-02,4760
2018-03-05,4708
2018-03-06,4703
2018-03-07,4677
2018-03-09,4745
2018-03-12,4829
2018-03-13,4930
2018-03-14,4879
2018-03-15,4838
2018-03-16,4780
2018-03-19,4708
2018-03-20,4680
2018-03-21,4575
2018-03-22,4465
2018-03-23,4447
2018-03-26,4393
2018-03-27,4330
2018-03-28,4545
2018-03-29,4461
2018-03-30,4520
2018-04-02,4387
2018-04-03,4514
2018-04-04,4475
2018-04-05,4497
2018-04-06,4359
2018-04-09,3561
2018-04-10,3650
2018-04-11,3585
2018-04-12,3599
2018-04-13,3550
2018-04-16,3541
2018-04-17,3657
2018-04-18,3718
2018-04-19,3775
2018-04-20,3790
2018-04-23,3900
2018-04-24,3906
2018-04-25,3947
2018-04-26,3920
2018-04-27,3937
2018-04-28,3946
2018-04-30,3995
2018-05-02,3850
2018-05-03,3863
2018-05-04,3955
2018-05-07,3976
2018-05-08,3940
2018-05-10,3920
2018-05-11,3868
2018-05-14,3885
2018-05-15,3737
2018-05-16,3710
2018-05-17,3688
2018-05-18,3730
2018-05-21,3739
2018-05-22,3738
2018-05-23,3712
2018-05-24,3737
2018-05-25,3728
2018-05-28,3785
2018-05-29,3755
2018-05-30,3725
2018-05-31,3750
2018-06-01,3800
2018-06-04,3940
2018-06-05,3940
2018-06-06,3911
2018-06-07,3941
2018-06-08,3785
2018-06-09,3810
2018-06-11,3830
2018-06-13,3845
2018-06-14,3903
2018-06-15,3979
2018-06-18,3870
2018-06-19,3890
2018-06-20,3943
2018-06-21,3806
2018-06-22,3873
2018-06-25,3890
2018-06-26,3894
2018-06-27,3880
2018-06-28,4108
2018-06-29,4206
2018-07-02,4170
2018-07-03,4123
2018-07-04,4131
2018-07-05,4192
2018-07-06,4186
2018-07-09,4276
2018-07-10,4220
2018-07-11,4226
2018-07-12,4179
2018-07-13,4260
2018-07-16,4200
2018-07-17,4137
2018-07-18,4189
2018-07-19,4149
2018-07-20,4077
2018-07-23,4142
2018-07-24,4292
2018-07-25,4361
2018-07-26,4437
2018-07-27,4478
2018-07-30,4416
2018-07-31,4469
2018-08-01,4355
2018-08-02,4442
2018-08-03,4359
2018-08-06,4425
2018-08-07,4480
2018-08-08,4383
2018-08-09,4450
2018-08-10,4214
2018-08-13,4165
2018-08-14,4220
2018-08-15,4146
2018-08-16,4116
2018-08-17,4055
2018-08-20,4208
2018-08-21,4190
2018-08-22,4268
2018-08-23,4255
2018-08-24,4393
2018-08-27,4398
2018-08-28,4337
2018-08-29,4241
2018-08-30,4149
2018-08-31,4373
2018-09-03,4367
2018-09-04,4350
2018-09-05,4289
2018-09-06,4361
2018-09-07,4308
2018-09-10,4336
2018-09-11,4350
2018-09-12,4299
2018-09-13,4233
2018-09-14,4145
2018-09-17,4105
2018-09-18,4110
2018-09-19,4089
2018-09-20,4075
2018-09-21,4122
2018-09-24,4060
2018-09-25,4053
2018-09-26,4048
2018-09-27,4094
2018-09-28,4128
2018-10-01,4090
2018-10-02,4145
2018-10-03,4180
2018-10-04,4170
2018-10-05,4150
2018-10-08,4152
2018-10-09,4140
2018-10-10,4110
2018-10-11,4222
2018-10-12,4240
2018-10-15,4204
2018-10-16,4316
2018-10-17,4350
2018-10-18,4314
2018-10-19,4300
2018-10-22,4213
2018-10-23,4239
2018-10-24,4165
2018-10-25,4180
2018-10-26,4137
2018-10-29,4200
2018-10-30,4099
2018-10-31,4152
2018-11-01,4148.5
2018-11-02,4185
2018-11-06,4214
2018-11-07,4247
2018-11-08,4260
2018-11-09,4356
2018-11-12,4330
2018-11-13,4323.5
2018-11-14,4400
2018-11-15,4329.5
2018-11-16,4295
2018-11-19,4480
2018-11-20,4450
2018-11-21,4550
2018-11-22,4689
2018-11-23,4732
2018-11-26,4752
2018-11-27,4700
2018-11-28,4688.5
2018-11-29,4704
2018-11-30,4827.5
2018-12-03,4695.5
2018-12-04,4715
2018-12-05,4780
2018-12-06,4775
2018-12-07,4847.5
2018-12-10,5024.5
2018-12-11,4873.5
2018-12-12,4878
2018-12-13,4999
2018-12-14,4991.5
2018-12-17,5024.5
2018-12-18,5053
2018-12-19,5175.5
2018-12-20,5167
2018-12-21,5300
2018-12-24,5300
2018-12-25,5219
2018-12-26,5200
2018-12-27,5298.5
2018-12-28,5392
2018-12-29,5399
2019-01-03,5299.5
2019-01-04,5286.5
2019-01-08,5134.5
2019-01-09,5275
2019-01-10,5414
2019-01-11,5416
2019-01-14,5372.5
2019-01-15,5365
2019-01-16,5339.5
2019-01-17,5400
2019-01-18,5370
2019-01-21,5330
2019-01-22,5398
2019-01-23,5400
2019-01-24,5359
2019-01-25,5390
2019-01-28,5371.5
2019-01-29,5550
2019-01-30,5548
2019-01-31,5494
2019-02-01,5521.5
2019-02-04,5490.5
2019-02-05,5526.5
2019-02-06,5530
2019-02-07,5475.5
2019-02-08,5440
2019-02-11,5300
2019-02-12,5300
2019-02-13,5213.5
2019-02-14,5320
2019-02-15,5344.5
2019-02-18,5430.5
2019-02-19,5445
2019-02-20,5445
2019-02-21,5370
2019-02-22,5360
2019-02-25,5373
2019-02-26,5445
2019-02-27,5450
2019-02-28,5470
2019-03-01,5350.5
2019-03-04,5092
2019-03-05,5139.5
2019-03-06,5205.5
2019-03-07,5200
2019-03-11,5235
2019-03-12,5325
2019-03-13,5444.5
2019-03-14,5468
2019-03-15,5343.5
2019-03-18,5460.5
2019-03-19,5493
2019-03-20,5342
2019-03-21,5394
2019-03-22,5393.5
2019-03-25,5260
2019-03-26,5434
2019-03-27,5410
2019-03-28,5416.5
2019-03-29,5437
2019-04-01,5421.5
2019-04-02,5480
2019-04-03,5320
2019-04-04,5100
2019-04-05,5096
2019-04-08,5141
2019-04-09,5092
2019-04-10,4990
2019-04-11,4930
2019-04-12,4950
2019-04-15,4835
2019-04-16,4922
2019-04-17,4950
2019-04-18,4982
2019-04-19,5000
2019-04-22,5049
2019-04-23,4905
2019-04-24,4965
2019-04-25,4957
2019-04-26,5060
2019-04-29,5052.5
2019-04-30,5037.5
2019-05-02,5040
2019-05-03,5050
2019-05-06,5055
2019-05-07,5033
2019-05-08,5019
2019-05-10,4990
2019-05-13,5001
2019-05-14,5018
2019-05-15,4950
2019-05-16,4930
2019-05-17,4844.5
2019-05-20,4773
2019-05-21,4833
2019-05-22,4906
2019-05-23,4972
2019-05-24,4985
2019-05-27,4985.5
2019-05-28,4970
2019-05-29,5053
2019-05-30,5075
2019-05-31,5170.5
2019-06-03,5244
2019-06-04,5269.5
2019-06-05,5323
2019-06-06,5326
2019-06-07,5460
2019-06-10,5485
2019-06-11,5576
2019-06-13,5580
2019-06-14,5721
2019-06-17,5600
2019-06-18,5646
2019-06-19,5560
2019-06-20,5638.5
2019-06-21,5805.5
2019-06-24,5931
2019-06-25,5931
2019-06-26,5896
2019-06-27,5836
2019-06-28,5828
2019-07-01,5695
2019-07-02,5848
2019-07-03,6029
2019-07-04,6108.5
2019-07-05,6200
2019-07-08,6225
2019-07-09,6209
2019-07-10,6293
2019-07-11,6225
2019-07-12,6316
2019-07-15,6300
2019-07-16,6371.5
2019-07-17,6385
2019-07-18,6413
2019-07-19,6472
2019-07-22,6476
2019-07-23,6400
2019-07-24,6416
2019-07-25,6490
2019-07-26,6412.5
2019-07-29,6467.5
2019-07-30,6500
2019-07-31,6460
2019-08-01,6431
2019-08-02,6510
2019-08-05,6844.5
2019-08-06,6791.5
2019-08-07,6944
2019-08-08,6897.5
2019-08-09,7010
2019-08-12,7090
2019-08-13,7024
2019-08-14,7194
2019-08-15,7254
2019-08-16,7130
2019-08-19,7200
2019-08-20,7314
2019-08-21,7244
2019-08-22,7236
2019-08-23,7280
2019-08-26,7485
2019-08-27,7574
2019-08-28,7510
2019-08-29,7524
2019-08-30,7665
2019-09-02,7600
2019-09-03,7618.5
2019-09-04,7573.5
2019-09-05,7400
2019-09-06,7470
2019-09-09,7383
2019-09-10,7301
2019-09-11,7440
2019-09-12,7500
2019-09-13,7457.5
2019-09-16,7636
2019-09-17,7734
2019-09-18,7784.5
2019-09-19,7731
2019-09-20,7770
2019-09-23,7640
2019-09-24,7720.5
2019-09-25,7778.5
2019-09-26,7775
2019-09-27,7561.5
2019-09-30,7545
2019-10-01,7549
2019-10-02,7452
2019-10-03,7477.5
2019-10-04,7525
2019-10-07,7515
2019-10-08,7680
2019-10-09,7575.5
2019-10-10,7530.5
2019-10-11,7260
2019-10-14,7159
2019-10-15,7111
2019-10-16,7286.5
2019-10-17,7210
2019-10-18,7400
2019-10-21,7213
2019-10-22,7130
2019-10-23,7160
2019-10-24,7276.5
2019-10-25,7259
2019-10-28,7301
2019-10-29,7297
2019-10-30,7354
2019-10-31,7469
2019-11-01,7400
2019-11-05,7377
2019-11-06,7616
2019-11-07,7415
2019-11-08,7195
2019-11-11,7185
2019-11-12,7047.5
2019-11-13,7137
2019-11-14,7093
2019-11-15,7084
2019-11-18,7052.5
2019-11-19,6983.5
2019-11-20,7040.5
2019-11-21,6832
2019-11-22,6927.5
2019-11-25,6792
2019-11-26,6728.5
2019-11-27,6822
2019-11-28,6840.5
2019-11-29,6891
2019-12-02,6885
2019-12-03,6996
2019-12-04,6933.5
2019-12-05,6894
2019-12-06,6758
2019-12-09,6792
2019-12-10,6842.5
2019-12-11,7142.5
2019-12-12,7095
2019-12-13,6987
2019-12-16,7000
2019-12-17,6941
2019-12-18,6959
2019-12-19,6855
2019-12-20,6771.5
2019-12-23,6868
2019-12-24,6940.5
2019-12-25,6976.5
2019-12-26,7140
2019-12-27,7145
2019-12-30,7103.5
2020-01-03,7286
2020-01-06,7421.5
2020-01-08,7468
2020-01-09,7326
2020-01-10,7220
2020-01-13,7357.5
2020-01-14,7391
2020-01-15,7421.5
2020-01-16,7379
2020-01-17,7360
2020-01-20,7385
2020-01-21,7374.5
2020-01-22,7380
2020-01-23,7377.5
2020-01-24,7448.5
2020-01-27,7857
2020-01-28,7775
2020-01-29,7752
2020-01-30,7819.5
2020-01-31,7814.5
2020-02-03,7698
2020-02-04,7529
2020-02-05,7481
2020-02-06,7562
2020-02-07,7765.5
2020-02-10,7915.5
2020-02-11,7895.5
2020-02-12,7838.5
2020-02-13,7968.5
2020-02-14,8003
2020-02-17,7922
2020-02-18,8000
2020-02-19,8111
2020-02-20,8200
2020-02-21,8507.5
2020-02-25,8780
2020-02-26,8644.5
2020-02-27,8901.5
2020-02-28,8464
2020-03-02,8540.5
2020-03-03,8591
2020-03-04,8566.5
2020-03-05,8628
2020-03-06,8885
2020-03-10,9381.5
2020-03-11,9372.5
2020-03-12,8970
2020-03-13,8744.5
2020-03-16,7954
2020-03-17,8121
2020-03-18,8383.5
2020-03-19,8456.5
2020-03-20,8495.5
2020-03-23,8423
2020-03-24,9520.5
2020-03-25,9995
2020-03-26,11047.5
2020-03-27,10820.5
2020-03-30,11172.5
2020-03-31,10637.5
2020-04-01,10038
2020-04-02,10354.5
2020-04-03,10394.5
2020-04-06,10818.5
2020-04-07,10970
2020-04-08,11050.5
2020-04-09,11260.5
2020-04-10,11401
2020-04-13,11525
2020-04-14,12150
2020-04-15,11472.5
2020-04-16,11940
2020-04-17,11685
2020-04-20,11635
2020-04-21,11794.5
2020-04-22,12209
2020-04-23,11951
2020-04-24,12095
2020-04-27,12081
2020-04-28,11916.5
2020-04-29,11935.5
2020-04-30,12110
2020-05-04,12023
2020-05-05,11832
2020-05-06,11920.5
2020-05-07,11839
2020-05-08,11973
2020-05-12,11979
2020-05-13,12295
2020-05-14,12350
2020-05-15,12306
2020-05-18,12257
2020-05-19,12110
2020-05-20,12073.5
2020-05-21,11925
2020-05-22,11814.5
2020-05-25,11975
2020-05-26,11628
2020-05-27,11262.5
2020-05-28,11340
2020-05-29,11673
2020-06-01,11400
2020-06-02,11142
2020-06-03,10567
2020-06-04,10688.5
2020-06-05,10246
2020-06-08,10149
2020-06-09,10465
2020-06-10,10589.5
2020-06-11,10888
2020-06-15,10520
2020-06-16,10345
2020-06-17,10742
2020-06-18,10850
2020-06-19,11067.5
2020-06-22,11336.5
2020-06-23,11583.5
2020-06-25,11673
2020-06-26,11738.5
2020-06-29,11890
2020-06-30,11970
2020-07-02,11974
2020-07-03,12220
2020-07-06,12491
2020-07-07,12707
2020-07-08,12914
2020-07-09,13280
2020-07-10,13170.5
2020-07-13,12852
2020-07-14,12819.5
2020-07-15,13270
2020-07-16,13168
2020-07-17,13225
2020-07-20,13342
2020-07-21,13484.5
2020-07-22,13920
2020-07-23,14498
2020-07-24,15265
2020-07-27,17248
2020-07-28,16580
2020-07-29,16650
2020-07-30,16240
2020-07-31,16949
2020-08-03,16850
2020-08-04,17380.5
2020-08-05,18169.5
2020-08-06,18592
2020-08-07,18067.5
2020-08-10,17753
2020-08-11,16834
2020-08-12,17301.5
2020-08-13,17460
2020-08-14,17419
2020-08-17,18152.5
2020-08-18,17948
2020-08-19,17633
2020-08-20,17830
2020-08-21,17686
2020-08-24,17966
2020-08-25,17985.5
2020-08-26,18344.5
2020-08-27,18170
2020-08-28,18366
2020-08-31,18085.5
2020-09-01,17868
2020-09-02,17529.5
2020-09-03,16951
2020-09-04,17266
2020-09-07,17431
2020-09-08,17023
2020-09-09,16735
2020-09-10,16806.5
2020-09-11,17067
2020-09-14,16950
2020-09-15,16943
2020-09-16,17270
2020-09-17,16947
2020-09-18,16930
2020-09-21,16460
2020-09-22,16285
2020-09-23,16309.5
2020-09-24,16335
2020-09-25,16335.5
2020-09-28,16423.5
2020-09-29,16658
2020-09-30,16250.5
2020-10-01,16352
2020-10-02,16737
2020-10-05,16962.5
2020-10-06,16401
2020-10-07,16566
2020-10-08,16883
2020-10-09,16981.5
2020-10-12,16850
2020-10-13,16655
2020-10-14,17430
2020-10-15,17318.5
2020-10-16,17399.5
2020-10-19,17268.5
2020-10-20,17130
2020-10-21,16800.5
2020-10-22,16768.5
2020-10-23,16527
2020-10-26,16141.5
2020-10-27,16499
2020-10-28,15935
2020-10-29,15601
2020-10-30,15536.5
2020-11-02,16319
2020-11-03,16670.5
2020-11-05,17195
2020-11-06,17697.5
2020-11-09,16615
2020-11-10,16432.5
2020-11-11,15880
2020-11-12,16033
2020-11-13,16295.5
2020-11-16,16035
2020-11-17,15790.5
2020-11-18,15770.5
2020-11-19,15490
2020-11-20,15410
2020-11-23,14785
2020-11-24,14630
2020-11-25,14570
2020-11-26,15020
2020-11-27,14640
2020-11-30,14530
2020-12-01,14859
2020-12-02,14656.5
2020-12-03,14503
2020-12-04,14360
2020-12-07,14740
2020-12-08,15061
2020-12-09,14580
2020-12-10,14429.5
2020-12-11,14212.5
2020-12-14,14393.5
2020-12-15,14899.5
2020-12-16,14750
2020-12-17,15286
2020-12-18,15320
2020-12-21,15650
