ticker,metric,quarter,value_bln
ROSN,fcf,2011,96
ROSN,fcf,2012,45
ROSN,fcf,2013,204
ROSN,fcf,2014,596
ROSN,fcf,2015,657
ROSN,fcf,2016,302
ROSN,fcf,2017,245
ROSN,fcf,2018,1133
ROSN,fcf,2019,884
ROSN,fcf,2020,425
ROSN,fcf,2021,1044
ROSN,fcf,2022,989
ROSN,fcf,2023,1427
ROSN,fcf,2024,1295
ROSN,fcf,2025,700
ROSN,fcf,LTM,700
YDEX,fcf,2016,15.661
YDEX,fcf,2017,7.519
YDEX,fcf,2018,-0.1
YDEX,fcf,2019,24.066
YDEX,fcf,2020,8.159
YDEX,fcf,2021,-44.154
YDEX,fcf,2022,-10.936
YDEX,fcf,2023,-37.7
YDEX,fcf,2024,48.9
YDEX,fcf,2025,109.7
YDEX,fcf,LTM,107.4
OZON,revenue,2015,13.7
OZON,revenue,2016,16.5
OZON,revenue,2017,24
OZON,revenue,2018,37.22
OZON,revenue,2019,60.104
OZON,revenue,2020,104.35
OZON,revenue,2021,178.2
OZON,revenue,2022,277.12
OZON,revenue,2023,424.3
OZON,revenue,2024,615.7
OZON,revenue,2025,998
OZON,revenue,LTM,1096
OZON,fcf,2018,-6.203
OZON,fcf,2019,-19.947
OZON,fcf,2020,-2.6
OZON,fcf,2021,-37.7
OZON,fcf,2022,-60.7
OZON,fcf,2023,-64.43
OZON,fcf,2024,-84.3
OZON,fcf,2025,19.8
OZON,fcf,LTM,45.94
