ticker,quarter,net_income_bln
SBER,2018Q1,212.1
SBER,2018Q2,215.3
SBER,2018Q3,228.1
SBER,2018Q4,176.2
SBER,2019Q1,226.6
SBER,2019Q2,250.3
SBER,2019Q3,156.1
SBER,2019Q4,212.0
SBER,2020Q1,120.5
SBER,2020Q2,166.7
SBER,2020Q3,271.4
SBER,2020Q4,202.4
SBER,2021Q1,304.8
SBER,2021Q2,325.0
SBER,2021Q3,348.3
SBER,2021Q4,272.6
SBER,2022Q4,
SBER,2023Q1,357.2
SBER,2023Q2,380.3
SBER,2023Q3,411.4
SBER,2023Q4,359.7
SBER,2024Q1,397.6
SBER,2024Q2,418.7
SBER,2024Q3,411.1
SBER,2024Q4,352.9
SBER,2025Q1,436.0
SBER,2025Q2,422.6
SBER,2025Q3,449.8
SBER,2025Q4,398.6
SBER,2026Q1,508.5
ROSN,2018Q1,123.0
ROSN,2018Q2,257.0
ROSN,2018Q3,267.0
ROSN,2018Q4,185.0
ROSN,2019Q1,242.0
ROSN,2019Q2,230.0
ROSN,2019Q3,262.0
ROSN,2019Q4,184.0
ROSN,2020Q1,34.0
ROSN,2020Q2,-56.0
ROSN,2020Q3,108.0
ROSN,2020Q4,85.0
ROSN,2021Q1,179.0
ROSN,2021Q2,265.0
ROSN,2021Q3,334.0
ROSN,2021Q4,279.0
ROSN,2022Q1,216.0
ROSN,2022Q2,216.0
ROSN,2022Q3,159.0
ROSN,2022Q4,222.0
ROSN,2023Q1,323.0
ROSN,2023Q2,329.0
ROSN,2023Q3,419.0
ROSN,2023Q4,196.0
ROSN,2024Q1,399.0
ROSN,2024Q2,374.0
ROSN,2024Q3,153.0
ROSN,2024Q4,158.0
ROSN,2025Q1,170.0
ROSN,2025Q2,75.0
ROSN,2025Q3,32.0
ROSN,2025Q4,16.0
ROSN,2026Q1,115.0
VTBR,2018Q1,55.5
VTBR,2018Q2,43.0
VTBR,2018Q3,41.2
VTBR,2018Q4,39.1
VTBR,2019Q1,46.5
VTBR,2019Q2,30.3
VTBR,2019Q3,51.2
VTBR,2019Q4,74.0
VTBR,2020Q1,39.8
VTBR,2020Q2,2.1
VTBR,2020Q3,17.2
VTBR,2020Q4,15.9
VTBR,2021Q1,85.1
VTBR,2021Q2,85.5
VTBR,2021Q3,87.0
VTBR,2021Q4,67.7
VTBR,2022Q1,
VTBR,2022Q2,
VTBR,2022Q3,
VTBR,2022Q4,
VTBR,2023Q1,147.2
VTBR,2023Q2,142.6
VTBR,2023Q3,86.5
VTBR,2023Q4,55.9
VTBR,2024Q1,118.2
VTBR,2024Q2,154.7
VTBR,2024Q3,97.9
VTBR,2024Q4,164.5
VTBR,2025Q1,136.8
VTBR,2025Q2,139.2
VTBR,2025Q3,95.4
VTBR,2025Q4,112.3
VTBR,2026Q1,128.0
YDEX,2018Q1,4.009
YDEX,2018Q2,5.08
YDEX,2018Q3,6.1
YDEX,2018Q4,6.949
YDEX,2019Q1,5.4
YDEX,2019Q2,5.825
YDEX,2019Q3,6.876
YDEX,2019Q4,5.439
YDEX,2020Q1,5.148
YDEX,2020Q2,1.901
YDEX,2020Q3,7.521
YDEX,2020Q4,6.322
YDEX,2021Q1,3.008
YDEX,2021Q2,1.012
YDEX,2021Q3,1.34
YDEX,2021Q4,3.465
YDEX,2022Q1,-8.124
YDEX,2022Q2,13.13
YDEX,2022Q3,5.01
YDEX,2022Q4,0.749
YDEX,2023Q1,8.17
YDEX,2023Q2,15.69
YDEX,2023Q3,11.5
YDEX,2023Q4,16.74
YDEX,2024Q1,21.57
YDEX,2024Q2,22.7
YDEX,2024Q3,25.1
YDEX,2024Q4,31.53
YDEX,2025Q1,12.8
YDEX,2025Q2,30.4
YDEX,2025Q3,44.7
YDEX,2025Q4,53.5
YDEX,2026Q1,34.7
T,2018Q1,5.7
T,2018Q2,5.982
T,2018Q3,7.3
T,2018Q4,8.118
T,2019Q1,7.2
T,2019Q2,8.2
T,2019Q3,9.7
T,2019Q4,11.0
T,2020Q1,9.02
T,2020Q2,10.2
T,2020Q3,12.6
T,2020Q4,12.38
T,2021Q1,14.2
T,2021Q2,16.1
T,2021Q3,16.5
T,2021Q4,16.6
T,2022Q1,1.4
T,2022Q2,3.0
T,2022Q3,6.0
T,2022Q4,10.3
T,2023Q1,16.24
T,2023Q2,20.36
T,2023Q3,23.6
T,2023Q4,20.7
T,2024Q1,22.2
T,2024Q2,23.5
T,2024Q3,37.8
T,2024Q4,38.7
T,2025Q1,33.29
T,2025Q2,42.46
T,2025Q3,40.11
T,2025Q4,61.14
T,2026Q1,38.8
OZON,2019Q1,-4.138
OZON,2019Q2,-4.325
OZON,2019Q3,-4.57
OZON,2019Q4,-6.33
OZON,2020Q1,-5.69
OZON,2020Q2,-3.288
OZON,2020Q3,-3.879
OZON,2020Q4,-9.403
OZON,2021Q1,-6.7
OZON,2021Q2,-15.2
OZON,2021Q3,-14.0
OZON,2021Q4,-20.9
OZON,2022Q1,-19.06
OZON,2022Q2,-7.2
OZON,2022Q3,-20.72
OZON,2022Q4,-11.21
OZON,2023Q1,10.66
OZON,2023Q2,-13.1
OZON,2023Q3,-22.1
OZON,2023Q4,-18.13
OZON,2024Q1,-13.2
OZON,2024Q2,-28.0
OZON,2024Q3,-7.1
OZON,2024Q4,-11.14
OZON,2025Q1,-7.894
OZON,2025Q2,0.359
OZON,2025Q3,2.938
OZON,2025Q4,3.659
OZON,2026Q1,4.541
SBER,2026Q2,511.6
VTBR,2026Q2,88.1
YDEX,2026Q2,47.6
T,2026Q2,44.3
OZON,2026Q2,10.1
DOMRF,2025Q2,23.4
DOMRF,2025Q3,23.1
DOMRF,2025Q4,26.5
DOMRF,2026Q1,28.5
DOMRF,2026Q2,28.7
GMKN,2025Q2,61.5
GMKN,2025Q3,102.6
GMKN,2025Q4,121.6
GMKN,2026Q1,224.2
PLZL,2025Q1,172.5
PLZL,2025Q2,141.7
PLZL,2025Q3,314.2
IRAO,2019Q1,31.2
IRAO,2019Q2,16.7
IRAO,2019Q3,16.8
IRAO,2019Q4,17.2
IRAO,2020Q1,34.6
IRAO,2020Q2,7.4
IRAO,2020Q3,15.4
IRAO,2020Q4,18.1
IRAO,2021Q1,34.5
IRAO,2021Q2,18.8
IRAO,2021Q3,25.5
IRAO,2021Q4,19.4
IRAO,2023Q3,29.4
IRAO,2023Q4,38.7
IRAO,2024Q3,31.4
IRAO,2024Q4,36.6
IRAO,2025Q1,47.2
IRAO,2025Q2,35.1
IRAO,2025Q3,30.2
IRAO,2025Q4,19.1
IRAO,2026Q1,46.0
IRAO,2026Q2,20.5
PLZL,2025Q4,61.2
PLZL,2026Q1,202.9
ROSN,2026Q2,85.0
