date,key_rate,base_stocks,z,target_stocks,target_bonds
2026-08-15,14.00,18.9513,2.3902,20.0983,79.9017
2026-08-16,14.00,18.9513,2.3902,20.0983,79.9017
2026-08-17,14.00,18.9513,2.3902,20.0983,79.9017
2026-08-18,14.00,18.9513,2.5236,20.3712,79.6288
2026-08-19,14.00,18.9513,2.2087,19.7786,80.2214
2026-08-20,14.00,18.9513,2.2650,19.8719,80.1281
2026-08-21,14.00,18.9513,2.4991,20.3185,79.6815
2026-08-22,14.00,18.9513,2.4021,20.1213,79.8787
2026-08-23,14.00,18.9513,2.4021,20.1213,79.8787
2026-08-24,14.00,18.9513,2.4021,20.1213,79.8787
2026-08-25,14.00,18.9513,2.7461,20.9101,79.0899
2026-08-26,14.00,18.9513,2.5954,20.5330,79.4670
2026-08-27,14.00,18.9513,2.6239,21.4495,78.5505
2026-08-28,14.00,18.9513,2.7097,21.5401,78.4599
