date,SBER_target,YDEX_target,T_target,DOMRF_target,TRND_target,OZON_target,AKME_target,AKFN_target,ROSN_target,VTBR_target,GMKN_target,PLZL_target,IRAO_target
2026-08-27,35.2056,22.3166,13.7760,5.6105,4.0075,6.2707,1.6030,0.8015,0.8015,2.6229,0.8015,4.7665,1.4164
2026-08-28,35.0866,22.2332,13.7783,5.5756,3.9825,6.2405,1.5930,0.7965,0.7965,2.7226,0.7965,4.8424,1.5559
2026-08-29,35.0866,22.2332,13.7783,5.5756,3.9825,6.2405,1.5930,0.7965,0.7965,2.7226,0.7965,4.8424,1.5559
2026-08-30,35.0866,22.2332,13.7783,5.5756,3.9825,6.2405,1.5930,0.7965,0.7965,2.7226,0.7965,4.8424,1.5559
2026-08-31,35.0866,22.2332,13.7783,5.5756,3.9825,6.2405,1.5930,0.7965,0.7965,2.7226,0.7965,4.8424,1.5559
2026-09-01,35.4315,22.4655,13.8981,5.6957,4.0683,6.1581,1.6273,0.8137,0.8137,2.4486,0.8137,4.9522,0.8137
2026-09-02,35.9975,22.6306,14.0275,5.8170,4.1550,5.2835,1.6620,0.8310,0.8310,2.4242,0.8310,4.6787,0.8310
2026-09-03,36.1193,22.6460,14.0737,5.8560,4.1829,5.1912,1.6731,0.8366,0.8366,2.2737,0.8366,4.6377,0.8366
2026-09-04,36.4573,22.6537,14.0711,5.9587,4.2562,4.6769,1.7025,0.8512,0.8512,2.1753,0.8512,4.6433,0.8512
2026-09-05,36.5890,22.5324,14.0752,5.9979,4.2842,4.6398,1.7137,0.8568,0.8568,2.0418,0.8568,4.6988,0.8568
