ticker,year,revenue_bln,net_income_bln,fcf_bln,diluted_shares_bln
AAPL,2022,394.328,99.803,111.443,16.325819
AAPL,2023,383.285,96.995,99.584,15.812547
AAPL,2024,391.035,93.736,108.807,15.408095
AAPL,2025,416.161,112.01,98.767,15.004697
ABBV,2022,58.054,11.836,24.248,1.778
ABBV,2023,54.318,4.863,22.062,1.773
ABBV,2024,56.334,4.278,17.832,1.773
ABBV,2025,61.16,4.226,17.816,1.773
AMT,2022,9.6454,1.7658,1.8226,0.46275
AMT,2023,10.0122,1.4833,2.9243,0.467162
AMT,2024,10.1272,2.255,3.7005,0.46812
AMT,2025,10.6446,2.5295,3.7836,0.468757
AMZN,2022,513.983,-2.722,-16.893,10.189
AMZN,2023,574.785,30.425,32.217,10.492
AMZN,2024,637.959,59.248,32.878,10.721
AMZN,2025,716.924,77.67,7.695,10.827
BRK-B,2022,234.121,-22.759,21.886,2.203313
BRK-B,2023,439.337,96.223,29.787,2.173319
BRK-B,2024,424.232,88.995,11.616,2.156579
BRK-B,2025,410.522,66.968,25.042,2.157333
CAT,2022,59.427,6.705,5.167,0.5304
CAT,2023,67.06,10.335,9.793,0.5136
CAT,2024,64.809,10.792,8.82,0.4894
CAT,2025,67.589,8.884,7.453,0.4723
CVX,2022,235.717,35.465,37.628,1.940277
CVX,2023,196.913,21.369,19.78,1.880307
CVX,2024,193.414,17.661,15.044,1.816602
CVX,2025,184.432,12.299,16.592,1.855637
DUK,2022,28.768,2.55,-5.44,0.77
DUK,2023,29.06,2.841,-2.726,0.771
DUK,2024,30.357,4.524,0.048,0.772
DUK,2025,32.237,4.968,-1.694,0.777
EQIX,2022,7.263,0.705,0.685,0.091828
EQIX,2023,8.188,0.969,0.436,0.094009
EQIX,2024,8.748,0.815,0.183,0.095827
EQIX,2025,9.217,1.35,-0.4,0.098123
FCX,2022,22.78,3.468,1.67,1.451
FCX,2023,22.855,1.848,0.455,1.443
FCX,2024,25.455,1.889,2.352,1.445
FCX,2025,25.915,2.204,1.116,1.443
GE,2022,29.139,0.336,5.255,1.096
GE,2023,35.348,9.482,4.327,1.099
GE,2024,38.702,6.556,3.678,1.094491
GE,2025,45.855,8.704,7.264,1.068
GOOGL,2022,282.836,59.972,60.01,13.159
GOOGL,2023,307.394,73.795,69.495,12.722
GOOGL,2024,350.018,100.118,72.764,12.447
GOOGL,2025,402.836,132.17,73.266,12.23
HD,2023,157.403,17.105,11.496,1.025
HD,2024,152.669,15.143,17.946,1.002
HD,2025,159.514,14.806,16.325,0.993
HD,2026,164.683,14.156,12.646,0.995
HOOD,2022,1.358,-1.028,-0.909,0.87863
HOOD,2023,1.865,-0.541,1.16,0.890858
HOOD,2024,2.951,1.411,-0.207,0.906172
HOOD,2025,4.473,1.883,1.584,0.918782
INTC,2022,63.054,8.014,-9.411,4.123
INTC,2023,54.228,1.689,-14.279,4.212
INTC,2024,53.101,-18.756,-15.656,4.28
INTC,2025,52.853,-0.267,-4.949,4.53
JNJ,2022,79.99,17.941,17.185,2.6639
JNJ,2023,85.159,35.153,17.778,2.5604
JNJ,2024,88.821,14.066,18.059,2.4294
JNJ,2025,94.193,26.804,19.313,2.4294
JPM,2022,127.727,37.676,107.119,2.97
JPM,2023,154.952,49.552,12.974,2.9431
JPM,2024,169.439,58.471,-42.012,2.879
JPM,2025,181.847,57.048,-147.782,2.7815
KO,2022,43.004,9.542,9.534,4.35
KO,2023,45.754,10.714,9.747,4.339
KO,2024,47.061,10.631,4.741,4.32
KO,2025,47.941,13.107,5.296,4.313
LIN,2022,33.364,4.147,5.691,0.504038
LIN,2023,32.854,6.199,5.518,0.49229
LIN,2024,33.005,6.565,4.926,0.482092
LIN,2025,33.986,6.898,5.089,0.472915
LLY,2022,28.5414,6.2448,4.6004,0.950182
LLY,2023,34.124,5.24,-3.152,0.903284
LLY,2024,45.043,10.59,0.414,0.904059
LLY,2025,65.179,20.64,5.964,0.899301
MA,2022,22.237,9.93,10.098,0.971
MA,2023,25.098,11.195,10.892,0.946
MA,2024,28.167,12.874,13.586,0.927
MA,2025,32.791,14.968,16.433,0.906
META,2022,116.609,23.2,19.289,2.702
META,2023,134.902,39.098,44.068,2.629
META,2024,164.501,62.36,54.072,2.614
META,2025,200.966,60.458,46.109,2.574
MSFT,2023,211.915,72.361,59.475,7.472
MSFT,2024,245.122,88.136,74.071,7.469
MSFT,2025,281.724,101.832,71.611,7.465
MSFT,2026,331.839,133.749,66.987,7.453
