date,cape,excess_cape_yield_pct,z_score
1881-01,18.474,-1.0489,
1881-02,18.1473,-1.1393,
1881-03,18.2701,-1.3123,
1881-04,17.9501,-0.7504,
1881-05,18.8697,-0.8881,
1881-06,19.0287,-0.7732,
1881-07,18.1164,-0.4048,2.8772
1881-08,17.2862,0.2144,4.0464
1881-09,16.7248,0.5564,2.9275
1881-10,16.262,0.6724,2.1708
1881-11,16.4786,0.5069,1.4556
1881-12,15.9588,0.4878,1.2439
1882-01,15.6788,0.6063,1.2847
1882-02,15.1539,0.9175,1.5844
1882-03,15.0917,0.7978,1.2509
1882-04,14.917,0.7498,1.0888
1882-05,14.5671,0.9992,1.3342
1882-06,14.3274,1.2729,1.5727
1882-07,15.2406,0.9093,0.9958
1882-08,15.5254,0.8045,0.8186
1882-09,16.0811,0.2414,0.1003
1882-10,15.7556,0.4945,0.4131
1882-11,15.1927,0.3501,0.2186
1882-12,15.3821,0.3182,0.1722
1883-01,15.2703,0.3649,0.2304
1883-02,14.7576,0.4731,0.3715
1883-03,15.0513,0.2495,0.0564
1883-04,15.4821,-0.0275,-0.3323
1883-05,15.3355,0.1532,-0.0688
1883-06,15.9034,-0.076,-0.3991
1883-07,15.9488,-0.2894,-0.7046
1883-08,15.1968,0.0217,-0.2272
1883-09,15.4947,-0.2035,-0.5618
1883-10,15.0481,0.2121,0.0805
1883-11,15.4082,0.2633,0.1583
1883-12,14.8964,0.3571,0.3026
1884-01,14.4328,0.4229,0.4022
1884-02,14.806,0.2566,0.0782
1884-03,14.736,0.297,0.0876
1884-04,14.3535,0.4344,0.2906
1884-05,13.4651,0.7721,0.9843
1884-06,12.9069,1.3336,2.3476
1884-07,13.0439,1.0777,1.6512
1884-08,13.8598,0.7126,0.6341
1884-09,13.5692,0.7695,0.7486
1884-10,13.2733,0.9927,1.3126
1884-11,13.3044,0.8453,0.885
1884-12,13.4323,0.6714,0.41
1885-01,13.1298,0.8512,0.8522
1885-02,13.3848,0.8293,0.7723
1885-03,13.7342,0.4293,-0.228
1885-04,13.5485,0.5738,0.1641
1885-05,13.7114,0.5145,0.0258
1885-06,13.9788,0.3211,-0.4442
1885-07,14.3267,0.2757,-0.5251
1885-08,15.1304,-0.1648,-1.7342
