ticker,quarter,end_date,net_income_bln,diluted_shares_bln
AAPL,2025Q2,2025-06-30,23.434,14.948179
AAPL,2025Q3,2025-09-30,27.466,14.863609
AAPL,2025Q4,2025-12-31,42.097,14.810356
AAPL,2026Q1,2026-03-31,29.578,14.725873
AAPL,2026Q2,2026-06-30,29.789,14.714676
ABBV,2025Q2,2025-06-30,0.938,1.771
ABBV,2025Q3,2025-09-30,0.186,1.772
ABBV,2025Q4,2025-12-31,1.816,1.774
ABBV,2026Q1,2026-03-31,0.695,1.774
ABBV,2026Q2,2026-06-30,3.613,1.771
AMT,2025Q2,2025-06-30,0.3668,0.468791
AMT,2025Q3,2025-09-30,0.8533,0.469039
AMT,2025Q4,2025-12-31,0.8207,0.468429
AMT,2026Q1,2026-03-31,0.8595,0.466833
AMT,2026Q2,2026-06-30,0.8675,0.466265
AMZN,2025Q1,2025-03-31,17.127,
AMZN,2025Q2,2025-06-30,18.164,10.806
AMZN,2025Q3,2025-09-30,21.187,10.845
AMZN,2025Q4,2025-12-31,21.192,10.863
AMZN,2026Q1,2026-03-31,30.255,10.874
AMZN,2026Q2,2026-06-30,,10.903
BRK-B,2025Q1,2025-03-31,4.603,2.157333
BRK-B,2025Q2,2025-06-30,12.37,2.157333
BRK-B,2025Q4,2025-12-31,19.199,
BRK-B,2026Q1,2026-03-31,10.106,2.157185
BRK-B,2026Q2,2026-06-30,25.667,2.154663
CAT,2025Q2,2025-06-30,2.179,0.4715
CAT,2025Q3,2025-09-30,2.3,0.4708
CAT,2025Q4,2025-12-31,2.402,0.469
CAT,2026Q1,2026-03-31,2.549,0.4658
CAT,2026Q2,2026-06-30,3.593,0.4625
CVX,2025Q2,2025-06-30,2.49,
CVX,2025Q3,2025-09-30,3.539,
CVX,2025Q4,2025-12-31,2.77,
CVX,2026Q1,2026-03-31,2.21,
CVX,2026Q2,2026-06-30,12.072,1.975087
DUK,2025Q2,2025-06-30,0.984,0.777
DUK,2025Q3,2025-09-30,1.421,0.778
DUK,2025Q4,2025-12-31,1.184,0.778
DUK,2026Q1,2026-03-31,1.55,0.779
DUK,2026Q2,2026-06-30,1.092,0.779
EQIX,2025Q2,2025-06-30,0.368,0.09805
EQIX,2025Q3,2025-09-30,0.374,0.098174
EQIX,2025Q4,2025-12-31,0.265,0.098378
EQIX,2026Q1,2026-03-31,0.415,0.098727
EQIX,2026Q2,2026-06-30,0.479,0.099136
FCX,2025Q2,2025-06-30,0.772,1.443
FCX,2025Q3,2025-09-30,0.674,1.443
FCX,2025Q4,2025-12-31,0.406,1.443
FCX,2026Q1,2026-03-31,0.881,1.444
FCX,2026Q2,2026-06-30,0.984,1.443
GE,2025Q2,2025-06-30,2.028,1.071
GE,2025Q3,2025-09-30,2.157,1.065
GE,2025Q4,2025-12-31,2.541,1.05875
GE,2026Q1,2026-03-31,1.904,1.054
GE,2026Q2,2026-06-30,2.37,1.047
GOOGL,2025Q2,2025-06-30,28.196,12.198
GOOGL,2025Q3,2025-09-30,34.979,12.203
GOOGL,2025Q4,2025-12-31,34.455,12.228
GOOGL,2026Q1,2026-03-31,62.578,12.238
GOOGL,2026Q2,2026-06-30,112.193,12.309
HD,2025Q3,2025-07-31,4.551,0.994
HD,2025Q4,2025-10-31,3.601,0.995
HD,2026Q1,2026-01-31,2.571,0.995
HD,2026Q2,2026-04-30,3.289,0.996
HD,2026Q3,2026-07-31,4.766,0.996
HOOD,2025Q2,2025-06-30,0.386,0.909128
HOOD,2025Q3,2025-09-30,0.556,0.917941
HOOD,2025Q4,2025-12-31,0.605,0.917718
HOOD,2026Q1,2026-03-31,0.35,0.915039
HOOD,2026Q2,2026-06-30,0.561,0.912
INTC,2025Q2,2025-06-30,-2.918,4.369
INTC,2025Q3,2025-09-30,4.063,4.531
INTC,2025Q4,2025-12-31,-0.591,4.856
INTC,2026Q1,2026-03-31,-3.728,5.083
INTC,2026Q2,2026-06-30,-11.033,5.104
JNJ,2025Q2,2025-06-30,5.537,2.4191
JNJ,2025Q3,2025-09-30,5.152,2.4286
JNJ,2025Q4,2025-12-31,5.116,2.439
JNJ,2026Q1,2026-03-31,5.235,2.4452
JNJ,2026Q2,2026-06-30,5.534,2.4401
JPM,2025Q2,2025-06-30,14.987,2.7937
JPM,2025Q3,2025-09-30,14.393,2.7676
JPM,2025Q4,2025-12-31,13.025,2.7405
JPM,2026Q1,2026-03-31,16.494,2.7202
JPM,2026Q2,2026-06-30,21.155,2.6942
KO,2025Q2,2025-06-30,3.81,4.315
KO,2025Q3,2025-09-30,3.696,4.313
KO,2025Q4,2025-12-31,2.271,4.313
KO,2026Q1,2026-03-31,3.924,4.314
KO,2026Q2,2026-06-30,4.425,4.313
LIN,2025Q2,2025-06-30,1.766,0.473573
LIN,2025Q3,2025-09-30,1.929,0.471509
LIN,2025Q4,2025-12-31,1.53,0.468702
LIN,2026Q1,2026-03-31,1.857,0.466319
LIN,2026Q2,2026-06-30,1.928,0.464523
LLY,2025Q2,2025-06-30,5.661,0.8998
LLY,2025Q3,2025-09-30,5.5825,0.898804
LLY,2025Q4,2025-12-31,6.6377,0.898002
LLY,2026Q1,2026-03-31,7.396,0.895918
LLY,2026Q2,2026-06-30,7.095,0.893671
MA,2025Q1,2025-03-31,,0.914
MA,2025Q2,2025-06-30,3.701,
MA,2025Q3,2025-09-30,3.927,0.905
MA,2025Q4,2025-12-31,4.06,0.898
MA,2026Q1,2026-03-31,3.882,0.893
MA,2026Q2,2026-06-30,4.388,0.883
META,2025Q2,2025-06-30,18.337,2.57
META,2025Q3,2025-09-30,2.709,2.572
META,2025Q4,2025-12-31,22.768,2.565
META,2026Q1,2026-03-31,26.773,2.564
META,2026Q2,2026-06-30,15.848,2.566
MSFT,2025Q2,2025-06-30,27.233,7.461
MSFT,2025Q3,2025-09-30,27.747,7.466
MSFT,2025Q4,2025-12-31,38.458,7.46
MSFT,2026Q1,2026-03-31,31.778,7.445
MSFT,2026Q2,2026-06-30,35.766,7.443
NEE,2025Q2,2025-06-30,2.028,2.0613
NEE,2025Q3,2025-09-30,2.438,2.0706
NEE,2025Q4,2025-12-31,1.535,2.089
NEE,2026Q1,2026-03-31,2.182,2.092
NEE,2026Q2,2026-06-30,3.144,2.093
NVDA,2025Q3,2025-07-31,26.422,24.532
NVDA,2025Q4,2025-10-31,31.91,24.483
NVDA,2026Q1,2026-01-31,42.96,24.432
NVDA,2026Q2,2026-04-30,58.321,24.391
NVDA,2026Q3,2026-07-31,59.688,24.285
PG,2025Q2,2025-06-30,3.615,2.4438
PG,2025Q3,2025-09-30,4.75,2.4368
PG,2025Q4,2025-12-31,4.319,2.424
PG,2026Q1,2026-03-31,3.932,2.4165
PG,2026Q2,2026-06-30,3.044,2.4127
PLD,2025Q1,2025-03-31,,0.95608
PLD,2025Q2,2025-06-30,0.5712,0.955882
PLD,2025Q3,2025-09-30,0.7643,0.956603
PLD,2025Q4,2025-12-31,1.3998,
PLD,2026Q1,2026-03-31,0.982,0.957561
PLD,2026Q2,2026-06-30,1.0622,0.957884
SHEL,2025Q2,2025-06-30,3.601,3.00235
SHEL,2025Q3,2025-09-30,5.322,2.953
SHEL,2025Q4,2025-12-31,4.134,2.89985
SHEL,2026Q1,2026-03-31,5.694,2.85185
SHEL,2026Q2,2026-06-30,10.821,2.8185
SHW,2025Q2,2025-06-30,0.7547,0.2513
SHW,2025Q3,2025-09-30,0.8331,0.249
SHW,2025Q4,2025-12-31,0.4768,0.2488
SHW,2026Q1,2026-03-31,0.5347,0.2481
SHW,2026Q2,2026-06-30,0.8436,0.246
SO,2025Q2,2025-06-30,0.88,1.108
SO,2025Q3,2025-09-30,1.711,1.111039
SO,2025Q4,2025-12-31,0.416,1.109
SO,2026Q1,2026-03-31,1.356,1.128
SO,2026Q2,2026-06-30,1.174,1.141
SOFI,2025Q2,2025-06-30,0.0973,1.182877
SOFI,2025Q3,2025-09-30,0.1394,1.291011
SOFI,2025Q4,2025-12-31,0.1735,1.34611
SOFI,2026Q1,2026-03-31,0.1667,1.378011
SOFI,2026Q2,2026-06-30,0.1566,1.35199
