ticker,date,metric,yield_pct,z_score
GOOGL,2021-10,EY,,
GOOGL,2021-11,EY,,
GOOGL,2021-12,EY,,
GOOGL,2022-01,EY,,
GOOGL,2022-02,EY,,
GOOGL,2022-03,EY,,
GOOGL,2022-04,EY,3.994,
GOOGL,2022-05,EY,4.0062,
GOOGL,2022-06,EY,4.1826,
GOOGL,2022-07,EY,3.9181,
GOOGL,2022-08,EY,4.2113,
GOOGL,2022-09,EY,4.7648,
GOOGL,2022-10,EY,4.8222,2.2811
GOOGL,2022-11,EY,4.5128,0.7012
GOOGL,2022-12,EY,5.1655,2.6027
GOOGL,2023-01,EY,4.611,0.5153
GOOGL,2023-02,EY,5.0605,1.6112
GOOGL,2023-03,EY,4.3936,-0.1979
GOOGL,2023-04,EY,5.4039,2.3064
GOOGL,2023-05,EY,4.7209,0.3874
GOOGL,2023-06,EY,4.8459,0.6508
GOOGL,2023-07,EY,4.3705,-0.4648
GOOGL,2023-08,EY,4.2598,-0.7063
GOOGL,2023-09,EY,4.4327,-0.2642
GOOGL,2023-10,EY,4.6749,0.3354
GOOGL,2023-11,EY,4.3768,-0.4204
GOOGL,2023-12,EY,4.1525,-0.9813
GOOGL,2024-01,EY,4.1403,-0.9676
GOOGL,2024-02,EY,4.1894,-0.7999
GOOGL,2024-03,EY,5.3293,2.1799
GOOGL,2024-04,EY,4.9414,1.0122
GOOGL,2024-05,EY,4.6629,0.299
GOOGL,2024-06,EY,4.4159,-0.3152
GOOGL,2024-07,EY,4.689,0.3749
GOOGL,2024-08,EY,4.9232,0.9627
GOOGL,2024-09,EY,4.8499,0.7445
GOOGL,2024-10,EY,4.7008,0.3425
GOOGL,2024-11,EY,4.7609,0.4929
GOOGL,2024-12,EY,4.2491,-0.8661
GOOGL,2025-01,EY,3.9425,-1.655
GOOGL,2025-02,EY,4.7237,0.451
GOOGL,2025-03,EY,5.2015,1.6927
GOOGL,2025-04,EY,6.8054,5.7009
GOOGL,2025-05,EY,6.2927,3.1228
GOOGL,2025-06,EY,6.1323,2.4473
GOOGL,2025-07,EY,5.6316,1.3989
GOOGL,2025-08,EY,5.0759,0.4225
GOOGL,2025-09,EY,4.4455,-0.6473
GOOGL,2025-10,EY,3.8433,-1.6131
GOOGL,2025-11,EY,3.3753,-2.2553
GOOGL,2025-12,EY,3.4527,-1.9571
GOOGL,2026-01,EY,3.1973,-2.1679
GOOGL,2026-02,EY,3.4665,-1.6299
GOOGL,2026-03,EY,3.7582,-1.1448
GOOGL,2026-04,EY,2.8085,-2.3158
GOOGL,2026-05,EY,2.8414,-2.0682
GOOGL,2026-06,EY,3.024,-1.6906
GOOGL,2026-07,EY,3.0346,-1.5654
GOOGL,2026-08,EY,3.1846,-1.3153
GOOGL,2026-09,EY,3.1926,-1.2462
NVDA,2021-10,EY,,
NVDA,2021-11,EY,,
NVDA,2021-12,EY,,
NVDA,2022-01,EY,,
NVDA,2022-02,EY,,
NVDA,2022-03,EY,,
NVDA,2022-04,EY,,
NVDA,2022-05,EY,,
NVDA,2022-06,EY,,
NVDA,2022-07,EY,,
NVDA,2022-08,EY,,
NVDA,2022-09,EY,,
NVDA,2022-10,EY,,
NVDA,2022-11,EY,,
NVDA,2022-12,EY,,
NVDA,2023-01,EY,,
NVDA,2023-02,EY,,
NVDA,2023-03,EY,,
NVDA,2023-04,EY,0.6279,
NVDA,2023-05,EY,0.4605,
NVDA,2023-06,EY,0.4119,
NVDA,2023-07,EY,0.3729,
NVDA,2023-08,EY,0.353,
NVDA,2023-09,EY,0.4005,
NVDA,2023-10,EY,0.4272,-0.1153
NVDA,2023-11,EY,0.3725,-0.7527
NVDA,2023-12,EY,0.3518,-0.9329
NVDA,2024-01,EY,0.2832,-1.688
NVDA,2024-02,EY,0.2202,-2.1359
NVDA,2024-03,EY,1.3206,9.4351
NVDA,2024-04,EY,1.3811,3.3338
NVDA,2024-05,EY,1.0884,1.5362
NVDA,2024-06,EY,0.9659,1.0416
NVDA,2024-07,EY,1.0197,1.1157
NVDA,2024-08,EY,0.9996,0.9871
NVDA,2024-09,EY,0.9826,0.8859
NVDA,2024-10,EY,0.8988,0.6177
NVDA,2024-11,EY,0.8631,0.4977
NVDA,2024-12,EY,0.8886,0.5531
NVDA,2025-01,EY,0.9938,0.8342
NVDA,2025-02,EY,0.9552,0.6922
NVDA,2025-03,EY,1.101,1.0914
NVDA,2025-04,EY,2.6976,5.6447
NVDA,2025-05,EY,2.1744,2.6466
NVDA,2025-06,EY,1.8598,1.748
NVDA,2025-07,EY,1.6519,1.2713
NVDA,2025-08,EY,1.6869,1.273
NVDA,2025-09,EY,1.5748,1.0298
NVDA,2025-10,EY,1.4511,0.7882
NVDA,2025-11,EY,1.66,1.1193
NVDA,2025-12,EY,1.5755,0.9389
NVDA,2026-01,EY,1.5373,0.8484
NVDA,2026-02,EY,1.6582,1.0312
NVDA,2026-03,EY,1.6848,1.0461
NVDA,2026-04,EY,2.4542,2.3132
NVDA,2026-05,EY,2.3197,1.8865
NVDA,2026-06,EY,2.4478,1.95
NVDA,2026-07,EY,2.4398,1.7984
NVDA,2026-08,EY,2.2185,1.3565
NVDA,2026-09,EY,2.2438,1.3232
LLY,2021-10,EY,,
LLY,2021-11,EY,,
