date,earnings_yield,revenue_yield,z_score,revenue_yield_v2,z_score_v2,revenue_v2_bln
2019-01,,,,,,
2019-02,,,,,,
2019-03,,,,,,
2019-04,,,,,,
2019-05,,,,,,
2019-06,,,,,,
2019-07,,,,,,
2019-08,,,,,,
2019-09,,,,,,
2019-10,,,,,,
2019-11,,,,,,
2019-12,,,,,,
2020-01,,,,,,
2020-02,,,,,,
2020-03,,,,,,
2020-04,,,,,,
2020-05,,,,,,
2020-06,,,,,,
2020-07,,,,,,
2020-08,,,,,,
2020-09,,,,,,
2020-10,,,,,,
2020-11,,,,,,
2020-12,,,,,,
2021-01,,,,,,
2021-02,,,,,,
2021-03,,,,,,
2021-04,,,,,,
2021-05,,,,,,
2021-06,,,,,,
2021-07,,,,,,
2021-08,,,,,,
2021-09,,,,,,
2021-10,,,,,,
2021-11,,,,,,
2021-12,,48.1251,,60.0588,,125.4213
2022-01,,66.6418,,83.6559,,126.1583
2022-02,,141.8389,,177.9371,,126.0773
2022-03,,92.8785,,92.1578,,125.0818
2022-04,,131.9853,,129.121,,123.3243
2022-05,,156.7325,,150.2651,,120.8582
2022-06,,174.1473,1.6942,163.0207,1.1676,118.0058
2022-07,,128.7583,0.2889,117.2036,-0.1242,114.7475
2022-08,,123.0424,0.1307,108.681,-0.3372,111.3464
2022-09,,144.9949,0.6856,124.319,0.1117,108.0842
2022-10,,116.2519,-0.1231,96.751,-0.6884,104.9138
2022-11,,103.9932,-0.4564,84.3123,-1.0107,102.2029
2022-12,,120.5083,0.0399,95.54,-0.5958,99.9414
2023-01,,107.87,-0.3385,84.2027,-0.9102,98.4017
2023-02,,110.7278,-0.2368,85.8849,-0.8005,97.7772
2023-03,,84.9498,-1.049,85.1919,-0.779,98.0486
2023-04,,82.247,-1.0685,83.45,-0.7953,99.2001
2023-05,,71.0575,-1.3585,73.5349,-1.0744,101.1787
2023-06,,66.6295,-1.3951,70.693,-1.1027,103.7327
2023-07,,56.9967,-1.5864,62.3209,-1.3063,106.9029
2023-08,,54.7065,-1.5247,61.8189,-1.2378,110.4811
2023-09,,61.3271,-1.2224,71.6373,-0.8626,114.207
2023-10,,70.6886,-0.8904,85.4591,-0.3986,118.1992
2023-11,,66.586,-0.9731,83.1397,-0.462,122.0762
2023-12,,73.4074,-0.7396,94.5781,-0.0813,125.967
2024-01,,58.7343,-1.1397,77.861,-0.63,129.6085
2024-02,,62.5864,-0.9802,84.9283,-0.3776,132.6717
2024-03,,90.9565,-0.1304,92.8136,-0.1025,135.4809
2024-04,,95.9939,0.0193,99.6026,0.1334,137.7612
2024-05,,99.8654,0.1341,105.0904,0.3236,139.7165
2024-06,,110.3567,0.4493,117.4218,0.7568,141.27
2024-07,,121.1561,0.7716,130.1054,1.1927,142.5772
2024-08,,160.1191,1.9549,173.2209,2.6865,143.6339
2024-09,,158.5628,1.7763,172.5335,2.3738,144.4682
2024-10,,192.5877,2.6542,210.5995,3.3401,145.1873
2024-11,,201.5453,2.6257,221.3165,3.1588,145.7945
2024-12,,177.5457,1.7771,195.7481,2.1307,146.3819
2025-01,,165.568,1.3755,183.2899,1.6696,146.9813
2025-02,,166.2628,1.3138,184.8053,1.5927,147.5772
2025-03,,218.6545,2.528,219.745,2.3717,148.3361
2025-04,,229.7338,2.5108,232.1726,2.4082,149.1669
2025-05,,236.4285,2.4046,240.4507,2.3468,150.111
2025-06,,90.2017,-0.5955,92.3371,-0.5908,151.0942
2025-07,,77.9762,-0.7934,80.3895,-0.7778,152.1681
2025-08,,74.834,-0.8205,77.7172,-0.802,153.2867
2025-09,,90.9816,-0.4802,95.1722,-0.4611,154.3984
2025-10,,97.2526,-0.3326,102.4996,-0.3116,155.5634
2025-11,,92.5824,-0.411,98.2861,-0.3917,156.6931
2025-12,,83.5478,-0.576,89.3491,-0.5638,157.8489
2026-01,,83.4098,-0.5568,89.8401,-0.5508,158.9789
2026-02,,80.8078,-0.5908,87.5777,-0.596,159.9655
2026-03,,98.9816,-0.2313,99.6062,-0.3769,161.0097
2026-04,,113.5794,0.0355,114.9802,-0.1031,161.9733
2026-05,-27.5956,115.1317,0.0486,117.2365,-0.0782,162.9252
2026-06,-34.4203,143.6051,0.5688,147.0229,0.4555,163.808
2026-07,-43.7483,182.522,1.2801,187.8666,1.1934,164.6851
2026-08,-54.0547,225.5215,2.034,233.3174,1.9909,165.531
2026-09,-55.4243,231.2357,1.99,239.6917,1.9654,165.851
